time,user_id,request,movie_id,rating
2024-02-27T22:48:45,274894,GET /rate/the+skulls+2000=4,the+skulls+2000,4
2024-02-27T22:48:46,138659,GET /rate/the+karate+kid_+part+iii+1989=2,the+karate+kid_+part+iii+1989,2
2024-02-27T22:48:46,216902,GET /rate/taqwacore+the+birth+of+punk+islam+2009=4,taqwacore+the+birth+of+punk+islam+2009,4
2024-02-27T22:48:47,301651,GET /rate/brokedown+palace+1999=3,brokedown+palace+1999,3
2024-02-27T22:48:48,521068,GET /rate/top+gun+1986=3,top+gun+1986,3
2024-02-27T22:48:48,272997,GET /rate/city+by+the+sea+2002=4,city+by+the+sea+2002,4
2024-02-27T22:48:49,182951,GET /rate/stone+reader+2002=4,stone+reader+2002,4
2024-02-27T22:48:49,367395,GET /rate/the+silence+of+the+lambs+1991=4,the+silence+of+the+lambs+1991,4
2024-02-27T22:48:49,182690,GET /rate/cashback+2006=4,cashback+2006,4
2024-02-27T22:48:49,40261,GET /rate/thunderbolt+and+lightfoot+1974=3,thunderbolt+and+lightfoot+1974,3
2024-02-27T22:48:49,378732,GET /rate/lady+and+the+tramp+ii+scamps+adventure+2001=3,lady+and+the+tramp+ii+scamps+adventure+2001,3
2024-02-27T22:48:49,372086,GET /rate/the+rum+diary+2011=4,the+rum+diary+2011,4
2024-02-27T22:48:50,196497,GET /rate/the+human+condition+ii+road+to+eternity+1959=5,the+human+condition+ii+road+to+eternity+1959,5
2024-02-27T22:48:50,173568,GET /rate/seducing+doctor+lewis+2003=4,seducing+doctor+lewis+2003,4
2024-02-27T22:48:51,400364,GET /rate/worlds+greatest+dad+2009=3,worlds+greatest+dad+2009,3
2024-02-27T22:48:51,342318,GET /rate/interstate+60+2002=5,interstate+60+2002,5
2024-02-27T22:48:52,1159,GET /rate/jean+de+florette+1986=5,jean+de+florette+1986,5
2024-02-27T22:48:52,155048,GET /rate/the+desert+fox+the+story+of+rommel+1951=4,the+desert+fox+the+story+of+rommel+1951,4
2024-02-27T22:48:52,143310,GET /rate/mystic+river+2003=5,mystic+river+2003,5
2024-02-27T22:48:52,495678,GET /rate/ran+1985=4,ran+1985,4
2024-02-27T22:48:53,263653,GET /rate/a+family+thing+1996=4,a+family+thing+1996,4
2024-02-27T22:48:53,261408,GET /rate/krabat+and+the+legend+of+the+satanic+mill+2008=2,krabat+and+the+legend+of+the+satanic+mill+2008,2
2024-02-27T22:48:54,226878,GET /rate/21+grams+2003=3,21+grams+2003,3
2024-02-27T22:48:54,331206,GET /rate/full+metal+jacket+1987=4,full+metal+jacket+1987,4
2024-02-27T22:48:55,150922,GET /rate/guilty+of+romance+2011=4,guilty+of+romance+2011,4
2024-02-27T22:48:55,280273,GET /rate/a+skin+too+few+the+days+of+nick+drake+2002=3,a+skin+too+few+the+days+of+nick+drake+2002,3
2024-02-27T22:48:56,256007,GET /rate/diary+of+a+country+priest+1951=3,diary+of+a+country+priest+1951,3
2024-02-27T22:48:58,307755,GET /rate/karan+arjun+1995=4,karan+arjun+1995,4
2024-02-27T22:48:58,422595,GET /rate/the+imitation+game+2014=5,the+imitation+game+2014,5
2024-02-27T22:48:59,263455,GET /rate/the+dark+knight+2008=4,the+dark+knight+2008,4
2024-02-27T22:49:01,481936,GET /rate/once+upon+a+time+in+the+west+1968=4,once+upon+a+time+in+the+west+1968,4
2024-02-27T22:49:01,258459,GET /rate/pierrot+le+fou+1965=4,pierrot+le+fou+1965,4
2024-02-27T22:49:02,420670,GET /rate/triangle+2009=3,triangle+2009,3
2024-02-27T22:49:02,313356,GET /rate/bambi+1942=4,bambi+1942,4
2024-02-27T22:49:03,292774,GET /rate/ballet+shoes+2008=4,ballet+shoes+2008,4
2024-02-27T22:49:03,106181,GET /rate/paris_+je+taime+2006=4,paris_+je+taime+2006,4
2024-02-27T22:49:03,312364,GET /rate/halloweentown+high+2004=4,halloweentown+high+2004,4
2024-02-27T22:49:03,336640,GET /rate/for+ever+mozart+1996=3,for+ever+mozart+1996,3
2024-02-27T22:49:04,36725,GET /rate/diner+1982=4,diner+1982,4
2024-02-27T22:49:05,269217,GET /rate/alien+1979=4,alien+1979,4
